"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 01 22:12:11 GMT 2023","Fri Sep 01 22:12:11 GMT 2023","125","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testCreateBooking","testCreateBooking",""
"passed","Fri Sep 01 22:12:11 GMT 2023","Fri Sep 01 22:12:11 GMT 2023","43","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testDeleteBooking","testDeleteBooking",""
"passed","Fri Sep 01 22:12:11 GMT 2023","Fri Sep 01 22:12:11 GMT 2023","43","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testUpdateBooking","testUpdateBooking",""
"passed","Fri Sep 01 22:12:11 GMT 2023","Fri Sep 01 22:12:11 GMT 2023","42","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testGetBooking","testGetBooking",""
