"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 18 20:37:28 GMT 2023","Mon Sep 18 20:37:28 GMT 2023","14","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testDeleteBooking","testDeleteBooking",""
"passed","Mon Sep 18 20:37:28 GMT 2023","Mon Sep 18 20:37:28 GMT 2023","13","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testUpdateBooking","testUpdateBooking",""
"passed","Mon Sep 18 20:37:28 GMT 2023","Mon Sep 18 20:37:28 GMT 2023","10","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testGetBooking","testGetBooking",""
"passed","Mon Sep 18 20:37:28 GMT 2023","Mon Sep 18 20:37:28 GMT 2023","120","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testCreateBooking","testCreateBooking",""
