"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 18 19:58:43 GMT 2023","Mon Sep 18 19:58:43 GMT 2023","47","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testGetBooking","testGetBooking",""
"passed","Mon Sep 18 19:58:43 GMT 2023","Mon Sep 18 19:58:43 GMT 2023","50","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testUpdateBooking","testUpdateBooking",""
"passed","Mon Sep 18 19:58:43 GMT 2023","Mon Sep 18 19:58:43 GMT 2023","151","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testCreateBooking","testCreateBooking",""
"failed","Mon Sep 18 19:58:43 GMT 2023","Mon Sep 18 19:58:43 GMT 2023","50","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testDeleteBooking","testDeleteBooking",""
