"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 18 20:46:19 GMT 2023","Mon Sep 18 20:46:19 GMT 2023","42","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testUpdateBooking","testUpdateBooking",""
"failed","Mon Sep 18 20:46:19 GMT 2023","Mon Sep 18 20:46:19 GMT 2023","50","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testDeleteBooking","testDeleteBooking",""
"passed","Mon Sep 18 20:46:19 GMT 2023","Mon Sep 18 20:46:19 GMT 2023","48","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testGetBooking","testGetBooking",""
"passed","Mon Sep 18 20:46:19 GMT 2023","Mon Sep 18 20:46:19 GMT 2023","129","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testCreateBooking","testCreateBooking",""
