"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 01 22:16:42 GMT 2023","Fri Sep 01 22:16:42 GMT 2023","91","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testCreateBooking","testCreateBooking",""
"failed","Fri Sep 01 22:16:42 GMT 2023","Fri Sep 01 22:16:42 GMT 2023","20","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testDeleteBooking","testDeleteBooking",""
"passed","Fri Sep 01 22:16:42 GMT 2023","Fri Sep 01 22:16:42 GMT 2023","16","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testUpdateBooking","testUpdateBooking",""
"passed","Fri Sep 01 22:16:42 GMT 2023","Fri Sep 01 22:16:42 GMT 2023","12","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testGetBooking","testGetBooking",""
