"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 18 14:56:46 GMT 2023","Mon Sep 18 14:56:46 GMT 2023","8","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testGetBooking","testGetBooking",""
"passed","Mon Sep 18 14:56:46 GMT 2023","Mon Sep 18 14:56:46 GMT 2023","67","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testCreateBooking","testCreateBooking",""
"passed","Mon Sep 18 14:56:46 GMT 2023","Mon Sep 18 14:56:46 GMT 2023","12","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testUpdateBooking","testUpdateBooking",""
"failed","Mon Sep 18 14:56:46 GMT 2023","Mon Sep 18 14:56:47 GMT 2023","16","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testDeleteBooking","testDeleteBooking",""
