"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 01 21:55:41 GMT 2023","Fri Sep 01 21:55:41 GMT 2023","143","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testCreateBooking","testCreateBooking",""
"passed","Fri Sep 01 21:55:41 GMT 2023","Fri Sep 01 21:55:41 GMT 2023","64","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testUpdateBooking","testUpdateBooking",""
"passed","Fri Sep 01 21:55:41 GMT 2023","Fri Sep 01 21:55:41 GMT 2023","59","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testGetBooking","testGetBooking",""
"passed","Fri Sep 01 21:55:41 GMT 2023","Fri Sep 01 21:55:41 GMT 2023","59","Restful Booker Herokuapp API tests","API tests","api.BookingTest","api.BookingTest","testDeleteBooking","testDeleteBooking",""
